age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
31,management,single,tertiary,no,78,yes,no,cellular,22,jul,369,2,-1,0,unknown,no
35,blue-collar,single,secondary,no,0,yes,no,unknown,3,jun,113,3,-1,0,unknown,no
41,blue-collar,married,secondary,no,440,yes,no,cellular,5,may,523,1,334,2,failure,no
51,technician,married,secondary,no,614,yes,no,cellular,18,may,9,4,-1,0,unknown,no
56,admin.,married,secondary,no,1290,no,no,unknown,12,jun,243,1,-1,0,unknown,no
50,management,married,tertiary,no,67,no,yes,unknown,20,jun,156,3,-1,0,unknown,no
36,technician,divorced,secondary,no,487,no,yes,cellular,11,aug,268,3,-1,0,unknown,no
37,admin.,married,secondary,no,3420,no,no,telephone,12,aug,92,1,-1,0,unknown,no
19,student,single,secondary,no,526,no,no,cellular,1,jul,174,1,199,3,failure,no
40,technician,married,secondary,no,0,yes,no,cellular,17,nov,74,2,196,1,failure,no
28,management,single,tertiary,no,4985,yes,no,cellular,28,aug,108,2,-1,0,unknown,no
30,services,married,secondary,no,675,yes,no,unknown,21,may,232,1,-1,0,unknown,no
31,admin.,single,secondary,no,162,yes,no,unknown,28,may,247,1,-1,0,unknown,no
60,blue-collar,married,secondary,no,414,no,no,cellular,4,feb,147,1,-1,0,unknown,no
32,services,single,secondary,no,2251,yes,yes,cellular,18,nov,131,1,124,1,failure,no
46,services,married,primary,no,860,no,no,cellular,25,jul,80,1,-1,0,unknown,no
33,technician,divorced,secondary,no,791,yes,no,cellular,24,jul,268,2,-1,0,unknown,no
46,admin.,single,tertiary,no,377,yes,no,unknown,5,may,98,2,-1,0,unknown,no
39,management,single,secondary,no,113,yes,no,telephone,27,aug,23,9,-1,0,unknown,no
53,services,married,tertiary,no,-3,no,no,cellular,8,aug,133,2,-1,0,unknown,no
57,blue-collar,married,primary,no,94,yes,no,telephone,23,jul,103,5,-1,0,unknown,no
54,retired,divorced,secondary,no,1483,yes,yes,cellular,8,may,53,2,-1,0,unknown,no
26,technician,married,tertiary,no,233,yes,no,cellular,25,jul,175,1,-1,0,unknown,no
51,blue-collar,married,secondary,no,-286,yes,no,unknown,9,may,70,1,-1,0,unknown,no
34,technician,married,secondary,no,0,yes,yes,telephone,13,aug,60,2,-1,0,unknown,no
38,unemployed,married,primary,no,338,no,no,unknown,19,jun,219,2,-1,0,unknown,no
39,management,married,secondary,no,643,yes,no,cellular,4,aug,295,1,-1,0,unknown,no
26,technician,single,secondary,no,1275,yes,no,unknown,20,jun,18,9,-1,0,unknown,no
31,management,married,tertiary,no,596,no,no,cellular,12,aug,192,4,-1,0,unknown,no
32,management,married,tertiary,no,1388,yes,no,cellular,30,apr,753,1,-1,0,unknown,yes
48,admin.,single,secondary,no,1253,yes,no,unknown,18,jun,245,2,-1,0,unknown,no
37,admin.,married,secondary,no,0,yes,no,cellular,9,dec,179,1,190,1,success,yes
34,technician,single,tertiary,no,184,yes,no,cellular,30,jul,87,3,-1,0,unknown,no
29,admin.,single,secondary,no,1261,no,no,cellular,5,feb,605,1,-1,0,unknown,no
51,management,married,tertiary,no,2934,yes,no,cellular,18,nov,727,4,-1,0,unknown,no
49,self-employed,married,tertiary,no,23917,no,no,cellular,11,aug,51,4,-1,0,unknown,no
44,management,married,tertiary,no,0,yes,no,cellular,11,may,78,2,264,3,failure,no
39,technician,married,tertiary,no,508,no,no,cellular,4,mar,431,1,122,3,failure,no
41,technician,married,secondary,no,-215,no,yes,cellular,10,jul,277,1,-1,0,unknown,no
56,management,divorced,tertiary,no,10532,no,no,cellular,7,aug,324,1,-1,0,unknown,yes
39,technician,married,tertiary,no,-204,yes,no,cellular,28,aug,144,4,-1,0,unknown,no
39,entrepreneur,married,secondary,no,5562,no,no,cellular,20,nov,149,3,-1,0,unknown,no
52,management,married,tertiary,no,583,no,no,cellular,17,may,376,1,181,3,success,yes
38,management,married,tertiary,no,165,yes,no,cellular,17,apr,526,1,260,2,other,yes
49,unemployed,married,primary,no,-384,yes,no,unknown,27,may,25,1,-1,0,unknown,no
21,admin.,single,tertiary,no,242,no,yes,cellular,26,mar,131,4,-1,0,unknown,no
44,entrepreneur,married,tertiary,no,1808,yes,no,cellular,9,jul,127,1,-1,0,unknown,no
73,retired,married,primary,no,934,no,no,cellular,14,sep,961,5,-1,0,unknown,yes
24,student,single,secondary,no,382,no,no,cellular,13,nov,256,2,92,3,failure,yes
60,retired,married,primary,no,-382,yes,no,unknown,26,may,140,2,-1,0,unknown,no
50,blue-collar,married,secondary,no,6258,yes,no,unknown,15,may,139,7,-1,0,unknown,no
59,retired,married,primary,no,6955,no,yes,unknown,20,jun,179,10,-1,0,unknown,no
29,services,married,secondary,no,283,no,yes,unknown,26,may,161,1,-1,0,unknown,no
50,admin.,married,secondary,no,176,no,no,cellular,29,jul,155,2,-1,0,unknown,no
31,technician,single,secondary,no,2846,no,no,cellular,8,aug,174,3,-1,0,unknown,no
77,retired,married,tertiary,no,0,no,no,cellular,27,sep,990,4,-1,0,unknown,no
56,blue-collar,married,secondary,no,68,yes,no,cellular,8,may,68,5,-1,0,unknown,no
52,blue-collar,married,primary,no,2144,yes,no,unknown,30,may,60,1,-1,0,unknown,no
47,services,married,secondary,no,0,no,yes,unknown,20,jun,51,2,-1,0,unknown,no
32,blue-collar,married,secondary,no,824,yes,no,cellular,3,apr,272,1,-1,0,unknown,no
41,blue-collar,married,primary,no,1461,yes,no,cellular,18,nov,290,1,165,2,success,no
34,blue-collar,married,secondary,no,-271,yes,yes,cellular,2,feb,90,1,252,2,failure,no
26,blue-collar,single,secondary,no,535,no,no,cellular,14,aug,125,1,-1,0,unknown,yes
47,housemaid,married,primary,no,389,no,no,unknown,6,jun,145,2,-1,0,unknown,no
37,technician,married,secondary,no,-254,yes,yes,cellular,6,feb,121,3,254,2,failure,no
38,blue-collar,married,primary,no,1455,yes,no,telephone,12,may,101,2,356,2,failure,no
41,admin.,divorced,secondary,no,303,no,no,unknown,26,jun,182,2,-1,0,unknown,no
56,retired,married,secondary,no,728,no,no,cellular,18,nov,163,2,110,15,failure,no
30,blue-collar,married,secondary,yes,-18,no,no,unknown,3,jun,157,2,-1,0,unknown,no
28,management,single,secondary,no,703,yes,no,cellular,15,may,485,1,88,1,other,yes
52,management,married,tertiary,no,40,no,no,cellular,19,nov,1265,3,-1,0,unknown,yes
54,management,divorced,primary,no,0,no,no,unknown,6,may,472,1,-1,0,unknown,no
57,blue-collar,married,primary,no,211,yes,no,cellular,3,apr,239,2,-1,0,unknown,no
33,technician,single,secondary,no,5214,yes,no,cellular,7,may,293,2,-1,0,unknown,no
34,blue-collar,married,primary,no,-20,yes,no,unknown,2,jun,920,2,-1,0,unknown,no
38,technician,married,secondary,no,284,yes,no,unknown,6,may,483,1,-1,0,unknown,no
48,technician,divorced,secondary,no,105,no,no,cellular,29,aug,520,2,-1,0,unknown,no
32,admin.,single,secondary,no,642,yes,no,cellular,5,feb,52,1,253,2,failure,no
52,blue-collar,divorced,primary,no,1250,no,no,unknown,16,jun,342,1,-1,0,unknown,no
54,retired,single,primary,no,767,no,no,unknown,9,jun,42,2,-1,0,unknown,no
28,student,single,secondary,no,459,no,no,cellular,16,mar,83,13,-1,0,unknown,no
50,blue-collar,married,primary,no,604,no,no,cellular,5,aug,104,1,-1,0,unknown,no
38,admin.,married,secondary,no,884,yes,no,unknown,5,jun,57,2,-1,0,unknown,no
90,retired,divorced,primary,no,712,no,no,telephone,3,mar,557,1,-1,0,unknown,yes
34,self-employed,married,secondary,no,173,no,no,unknown,26,feb,36,1,-1,0,unknown,no
58,retired,married,secondary,no,674,yes,no,unknown,26,may,80,1,-1,0,unknown,no
30,services,single,secondary,no,572,yes,no,cellular,5,may,237,1,319,4,other,no
26,student,single,secondary,no,715,yes,no,unknown,20,jun,31,10,-1,0,unknown,no
43,management,divorced,tertiary,no,221,yes,no,cellular,11,may,313,1,369,2,failure,no
50,management,married,unknown,no,914,yes,no,unknown,29,may,359,3,-1,0,unknown,no
20,student,single,secondary,no,53,no,no,cellular,11,aug,203,1,-1,0,unknown,no
39,blue-collar,married,secondary,no,0,yes,no,unknown,20,may,165,2,-1,0,unknown,no
39,technician,divorced,secondary,no,1222,yes,no,unknown,23,may,451,4,-1,0,unknown,no
31,technician,divorced,tertiary,yes,1200,no,no,cellular,19,nov,62,1,-1,0,unknown,no
45,unemployed,married,primary,no,1292,yes,no,unknown,14,may,70,2,-1,0,unknown,no
33,technician,divorced,secondary,no,0,yes,no,cellular,7,may,177,2,-1,0,unknown,no
38,management,divorced,tertiary,no,10638,no,no,unknown,12,jun,159,2,-1,0,unknown,no
33,management,single,tertiary,no,2364,no,no,cellular,17,may,508,1,-1,0,unknown,yes
40,blue-collar,married,primary,no,3705,yes,no,cellular,14,may,23,1,332,1,failure,no
34,blue-collar,married,primary,no,695,yes,yes,unknown,16,may,1064,4,-1,0,unknown,yes
59,housemaid,married,primary,no,5501,no,no,unknown,9,jun,172,4,-1,0,unknown,no
59,self-employed,married,primary,no,0,yes,no,telephone,28,jul,97,2,-1,0,unknown,no
29,blue-collar,single,secondary,no,0,yes,no,unknown,29,may,106,4,-1,0,unknown,no
32,admin.,single,secondary,no,-32,no,no,cellular,29,jan,320,1,185,5,other,no
35,management,single,tertiary,no,175,yes,yes,cellular,21,nov,53,1,-1,0,unknown,no
31,technician,married,secondary,no,585,yes,no,telephone,11,nov,133,1,-1,0,unknown,no
33,technician,divorced,secondary,no,558,yes,no,cellular,21,nov,258,2,93,3,failure,no
68,retired,married,unknown,no,3701,no,no,telephone,8,jun,149,1,-1,0,unknown,no
44,admin.,divorced,tertiary,no,994,yes,no,cellular,13,may,420,3,-1,0,unknown,no
32,technician,married,secondary,no,1214,yes,no,cellular,20,apr,53,1,-1,0,unknown,no
46,management,married,tertiary,no,2199,no,no,telephone,27,may,146,1,-1,0,unknown,no
45,technician,married,tertiary,no,115,no,no,cellular,16,dec,147,1,194,1,other,no
39,blue-collar,married,secondary,no,327,yes,no,unknown,20,may,244,1,-1,0,unknown,no
32,technician,married,secondary,no,235,yes,no,telephone,28,aug,688,6,-1,0,unknown,no
30,technician,single,secondary,no,3096,yes,no,cellular,11,aug,272,4,-1,0,unknown,no
33,technician,single,secondary,no,234,no,no,cellular,1,apr,176,1,370,2,failure,no
63,retired,married,secondary,no,1495,no,no,cellular,25,oct,389,1,195,4,other,yes
58,technician,married,tertiary,no,0,no,no,cellular,25,aug,540,4,-1,0,unknown,no
30,services,married,secondary,no,699,yes,no,unknown,29,may,544,1,-1,0,unknown,no
31,technician,single,secondary,no,1170,yes,no,unknown,2,jun,120,2,-1,0,unknown,no
57,retired,married,secondary,no,1841,no,no,telephone,5,jun,302,1,-1,0,unknown,yes
33,admin.,married,secondary,no,2,yes,yes,cellular,28,jul,85,12,-1,0,unknown,no
53,blue-collar,divorced,secondary,no,640,yes,no,cellular,11,may,321,2,-1,0,unknown,no
26,blue-collar,married,secondary,no,490,yes,no,unknown,23,jun,82,5,-1,0,unknown,no
19,student,single,unknown,no,108,no,no,cellular,10,aug,168,1,182,2,success,yes
39,management,married,tertiary,no,2939,no,no,cellular,6,oct,608,1,99,3,failure,yes
